FILE;SIDE;IC_1;TO_1;IC_2;TO_2;IC_3;TO_3;IC_4;TO_4;IC_5;TO_5;IC_6;TO_6;IC_7;TO_7;IC_8;TO_8;IC_9;TO_9;IC_10;TO_10;IC_11;TO_11;IC_12;TO_12;IC_13;TO_13;IC_14;TO_14;IC_15;TO_15;IC_16;TO_16;IC_17;TO_17;IC_18;TO_18;IC_19;TO_19;IC_20;TO_20;IC_21;TO_21;IC_22;TO_22;IC_23;TO_23;IC_24;TO_24;IC_25;TO_25;IC_26;TO_26;IC_27;TO_27;IC_28;TO_28;IC_29;TO_29;IC_30;TO_30
S001_BS_Rep_4.32.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BS_Rep_5.33.xlsx;r;-1;3.848;-1;4.88;-1;5.933;-1;6.973;-1;7.985;-1;9.011;-1;10.02;-1;11.04;-1;12.04;-1;13.08;-1;14.13;-1;15.17;-1;16.19;-1;17.22;-1;18.25;-1;19.28;-1;20.28;-1;21.3;-1;22.3;-1;23.31;-1;24.33;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BS_Rep_5.33.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BS_Rep_6.34.xlsx;r;-1;3.49;-1;4.523;-1;5.562;-1;6.588;-1;7.601;-1;8.627;-1;9.632;-1;10.64;-1;11.67;-1;12.71;-1;13.76;-1;14.79;-1;15.8;-1;16.83;-1;17.87;-1;18.91;-1;19.95;-1;20.94;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BS_Rep_6.34.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_1.1.xlsx;r;-1;3.193;3.584;4.172;4.576;5.15;5.549;6.122;6.521;7.115;7.52;8.087;8.491;9.072;9.47;10.04;10.43;10.98;11.38;11.95;12.35;12.93;13.32;13.91;14.3;14.89;15.27;5.84;16.23;16.81;17.19;17.77;18.16;18.73;19.12;19.69;20.08;20.63;21.04;21.61;22;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_1.1.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_2.2.xlsx;r;3.294;3.875;4.273;4.853;5.258;5.832;6.23;6.811;7.209;7.79;8.201;8.782;9.173;9.754;10.16;10.75;11.13;11.7;12.11;12.68;13.09;13.66;14.07;14.63;15.02;15.59;15.98;16.56;16.95;17.53;17.93;18.49;18.88;19.45;19.86;20.43;20.83;21.39;21.79;22.35;22.75;23.31;23.71;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_2.2.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_3.3.xlsx;r;3.017;3.591;3.983;4.563;4.968;5.535;5.94;6.494;6.885;7.438;7.83;8.39;8.788;9.356;9.747;10.31;10.71;11.26;11.65;12.2;12.6;13.15;13.55;14.11;14.52;15.1;15.51;16.09;16.5;17.07;17.48;18.06;18.47;19.06;19.46;20.05;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_3.3.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_4.4.xlsx;r;3.328;3.922;4.333;4.934;5.346;5.947;6.359;6.946;7.364;7.938;8.336;8.917;9.335;9.916;10.33;10.93;11.35;11.93;12.33;12.91;13.31;13.89;14.3;14.89;15.3;15.89;16.3;16.88;17.29;17.86;18.27;18.84;19.25;19.82;20.22;20.8;21.22;21.79;22.2;22.79;23.19;23.78;24.2;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_4.4.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_5.5.xlsx;r;-1;3.537;3.935;4.509;4.914;5.501;5.893;6.466;6.872;7.438;7.837;8.41;8.816;9.376;9.767;10.34;10.73;11.31;11.71;12.28;12.69;13.26;13.67;14.23;14.63;15.2;15.6;16.18;16.58;17.16;17.56;18.14;18.53;19.1;19.51;20.07;20.48;21.05;21.47;22.05;22.46;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SC_Rep_5.5.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_1.6.xlsx;r;-1;3.605;-1;4.482;-1;5.366;-1;6.257;-1;7.155;-1;8.039;-1;8.924;-1;9.801;-1;10.68;-1;11.56;-1;14.45;-1;13.34;-1;14.22;-1;15.11;-1;16;-1;16.89;-1;17.78;-1;18.68;-1;19.57;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_SF_Rep_1.6.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
