FILE;SIDE;IC_1;TO_1;IC_2;TO_2;IC_3;TO_3;IC_4;TO_4;IC_5;TO_5;IC_6;TO_6;IC_7;TO_7;IC_8;TO_8;IC_9;TO_9;IC_10;TO_10;IC_11;TO_11;IC_12;TO_12;IC_13;TO_13;IC_14;TO_14;IC_15;TO_15;IC_16;TO_16;IC_17;TO_17;IC_18;TO_18;IC_19;TO_19;IC_20;TO_20;IC_21;TO_21;IC_22;TO_22;IC_23;TO_23;IC_24;TO_24;IC_25;TO_25;IC_26;TO_26;IC_27;TO_27;IC_28;TO_28;IC_29;TO_29;IC_30;TO_30;IC_31;TO_31
S004_BF_Rep_3.25.xlsx;r;-1;2.795;-1;3.76;-1;4.739;-1;5.731;-1;6.712;-1;7.675;-1;8.741;-1;9.632;-1;10.58;-1;11.58;-1;12.48;-1;13.43;-1;14.43;-1;15.38;-1;16.34;-1;17.31;-1;18.29;-1;19.25;-1;20.22;-1;21.28;-1;22.21;-1;23.22;-1;24.23;-1;25.19;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
S004_BF_Rep_3.25.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BF_Rep_4.26.xlsx;r;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BF_Rep_4.26.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BF_Rep_5.27.xlsx;r;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BF_Rep_5.27.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BS_Rep_1.18.xlsx;r;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BS_Rep_1.18.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BS_Rep_2.19.xlsx;r;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BS_Rep_2.19.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
